iata_code,name,type,iso_country,municipality,latitude,longitude
YNO,North Spirit Lake Airport,small_airport,CA,North Spirit Lake,52.4900016784668, -92.97109985351562
CKR,Crane Island Airstrip,small_airport,US,Crane Island,48.5978, -122.9979
CKU,Cordova Municipal Airport,small_airport,US,Cordova,60.5438995361, -145.727005005
YDW,North of Sixty Airport,small_airport,CA,Obre Lake,60.316398620605, -103.12899780273
CKX,Chicken Airport,small_airport,US,Chicken,64.0712966919, -141.95199585
WCH,Nuevo Chaitén Airport,medium_airport,CL,Chaitén,-42.781943, -72.834999
CMT,New Cametá Airport,small_airport,BR,Cametá,-2.2468, -49.56
CMZ,Caia Airport,small_airport,MZ,Caia,-17.8331, 35.3341
TVS,Tangshan Sannühe Airport,small_airport,CN,Tangshan,39.7178001404, 118.002624512
YUA,Yuanmou Air Base,medium_airport,CN,Chuxiong (Yuanmou),25.737499, 101.882004
ZQZ,Zhangjiakou Ningyuan Airport,medium_airport,CN,Zhangjiakou,40.738602, 114.93
BSD,Baoshan Yunrui Airport,medium_airport,CN,Baoshan (Longyang),25.053301, 99.168297
DZU,Dazu Air Base,small_airport,CN,Dazu,29.636227, 105.773621
LNJ,Lincang Boshang Airport,medium_airport,CN,Lincang,23.7381, 100.025002
RKZ,Xigaze Peace Airport / Shigatse Air Base,medium_airport,CN,Xigazê (Samzhubzê),29.3519, 89.311401
